index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	情報工学系	023	准教授	002	青西	亨	あ	あおにし	とおる	1	Toru 	Aonishi	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023																											key_rid=5000085863		ｱｵﾆｼ	ﾄｵﾙ				
	情報工学系	023	教授	001	秋山	泰	あ	あきやま	ゆたか	1	Yutaka	Akiyama	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					バイオインフォマティクス	Bioinformatics	創薬支援計算	Computational drug discovery	高性能計算	High-performance computing	機械学習応用	Machine learning applications	http://www.bi.cs.titech.ac.jp/web/	http://www.bi.cs.titech.ac.jp/web?set_language=en	key_rid=5000086752		ｱｷﾔﾏ	ﾕﾀｶ				
	情報工学系	023	准教授	002	石井	秀明	あ	いしい	ひであき	2	Hideaki 	Ishii	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023																	システム制御	Systems and control	ネットワーク化制御	Networked control	マルチエージェント系の分散制御	Distributed control of multi-agent systems	制御系のサイバーセキュリティ	Cyber security of control systems	http://www.sc.dis.titech.ac.jp/ishii/index_j.html	http://www.sc.dis.titech.ac.jp/ishii	key_rid=6000012460		ｲｼｲ	ﾋﾃﾞｱｷ				
	情報工学系	023	准教授	002	石田	貴士	あ	いしだ	たかし	2	Takashi	Ishida	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					データマイニング	Data mining	バイオインフォマティクス	Bioinformatics	機械学習	Machine learning	分子シミュレーション	Molecular simulation	http://www.cb.cs.titech.ac.jp	http://www.cb.cs.titech.ac.jp/en/	key_rid=6000021788		ｲｼﾀﾞ	ﾀｶｼ				
	情報工学系	023	助教	004	伊藤	勇太	あ	いとう	ゆうた	2	Yuta	Itoh	情報工学系	023	情報工学コース	023	情報工学系	023	知能情報コース	005																					拡張現実感・ヴァーチャルリアリティ	Augmented&Virtual reality	人間拡張	Human augmentation	コンピュータビジョン	Computer vision	ヒューマン・コンピュータインタラクション 	Human-Computer interaction	http://www.ar.c.titech.ac.jp	http://www.ar.c.titech.ac.jp	key_rid=B000281631		ｲﾄｳ	ﾕｳﾀ				
	情報工学系	023	特任教授	005	井上	克巳	あ	いのうえ	かつみ	2	Katsumi	Inoue	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					人工知能	Artificial intelligence	論理プログラミング	Logic programming	マルチエージェントシステム	Multi-agent systems	システム生物学	Systems biology	http://research.nii.ac.jp/~inoue/official/content_j.html	http://research.nii.ac.jp/~inoue	key_rid=1000165292		ｲﾉｳｴ	ｶﾂﾐ				
	情報工学系	023	助教	004	井上	中順	あ	いのうえ	なかまさ	2	Nakamasa	Inoue	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					マルチメディア情報処理	Multimedia information processing									key_t2r2Rid=CTT100511351		ｲﾉｳｴ	ﾅｶﾏｻ				
	情報工学系	023	助教	004	宇都	有昭	あ	うと	くにあき	5	Kuniaki	Uto	情報工学系	023	知能情報コース	005																									リモートセンシング	Remote sensing	統計信号処理	Statistical signal processing	計測工学	Instrumentation engineering					key_rid=5000039890		ｳﾄ	ｸﾆｱｷ				
	情報工学系	023	助教	004	大上	雅史	あ	おおうえ	まさひと	3	Masahito	Ohue	情報工学系	023	知能情報コース	005	情報工学系	023	情報工学コース	023																					バイオインフォマティクス	Bioinformatics	創薬支援計算	Computational drug discovery	生物物理学	Biophysics	高性能計算	High-performance computing	https://www.li.c.titech.ac.jp	https://www.li.c.titech.ac.jp	key_rid=B000228610		ｵｵｳｴ	ﾏｻﾋﾄ				
	情報工学系	023	特任助教	008	大良	宏樹	あ	おおら	ひろき	3	Hiroki	Ora	情報工学系	023	知能情報コース	005																																			key_rid=B000224342		ｵｵﾗ	ﾋﾛｷ				
