index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
1	融合理工学系	027	准教授	002	青柳	貴洋	あ	あおやぎ	たかひろ	1	Takahiro	Aoyagi	電気電子系	017	電気電子コース	017	融合理工学系	027	地球環境共創コース	027																					環境電磁工学	Electromagnetic compatibility (EMC)	電波伝搬	Wave propagation					http://www.aoyagi.ee.e.titech.ac.jp/blog/ja/	http://www.aoyagi.ee.e.titech.ac.jp/blog/	key_rid=1000275241		ｱｵﾔｷﾞ	ﾀｶﾋﾛ		
3	融合理工学系	027	准教授	002	秋田	大輔	あ	あきた	だいすけ	1	Daisuke	Akita	融合理工学系	027	地球環境共創コース	027	融合理工学系	027	エンジニアリングデザインコース	002	融合理工学系	027	エネルギーコース	001																	航空宇宙システム	Aerospace systems	惑星探査システム	Planetary exploration system	高速空気力学	Aerodynamics			http://www.ide.titech.ac.jp/~akita/	http://www.ide.titech.ac.jp/~akita/	key_rid=6000021710		ｱｷﾀ	ﾀﾞｲｽｹ		
5	融合理工学系	027	准教授	002	阿部	直也	あ	あべ	なおや	1	Naoya	Abe	融合理工学系	027	地球環境共創コース	027	融合理工学系	027	エンジニアリングデザインコース	002																					環境・社会持続性評価	International development	国際開発	Sustainability assessment	環境経済学	Applied economics		Environmental policy	http://www.ide.titech.ac.jp/~nabe/wp/	http://www.ide.titech.ac.jp/~nabe/wp/	key_t2r2Rid=CTT100511071		ｱﾍﾞ	ﾅｵﾔ		
	融合理工学系	027	助教	004	嚴島	怜	あ	いつくしま	れい	2	Rei	Itsukushima	融合理工学系	027	地球環境共創コース	027																									水災害	Water hazard	河川生態系	Stream ecology	河川地形	River topography	流域管理	Watershed management			key_rid=B000322121		ｲﾂｸｼﾏ	ﾚｲ		
7	融合理工学系	027	助教	004	稲垣	厚至	あ	いながき	あつし	2	Atsushi	Inagaki	融合理工学系	027	地球環境共創コース	027																									都市気象学	Urban meteorology	環境流体力学	Environmental fluid mechanics					http://www.ide.titech.ac.jp/~kandalab/	http://www.ide.titech.ac.jp/~kandalab/en/index.html	key_rid=6000012456		ｲﾅｶﾞｷ	ｱﾂｼ		
	融合理工学系	027	特定教授	009	梅宮	直樹	あ	うめみや	なおき	5	Naoki	Umemiya	融合理工学系	027	地球環境共創コース	027																									比較教育学	Comparative education	高等教育政策	Higher education policy	国際開発・協力	International development/cooperation	事業評価	Project evaluation					ｳﾒﾐﾔ	ﾅｵｷ		
9	融合理工学系	027	准教授	002	江頭	竜一	あ	えがしら	りゅういち	1	Ryuichi 	Egashira	融合理工学系	027	地球環境共創コース	027																									分離精製工学、プロセス合成	Separation and purification process 	溶媒抽出	Solvent extraction 	吸着	Adsorption 	相平衡	Phase equilibrium 	http://www.ide.titech.ac.jp/~regashir/	http://www.ide.titech.ac.jp/~regashir/	key_rid=1000203881		ｴｶﾞｼﾗ	ﾘｭｳｲﾁ		
11	融合理工学系	027	教授	001	鼎	信次郎	か	かなえ	しんじろう	3	Shinjiro 	Kanae	土木・環境工学系	026	土木工学コース	026	融合理工学系	027	地球環境共創コース	027																					地球の水循環	Terrestrial hydrology	水災害	Water hazard	気候変動	Climate change	河川流域マネジメント	Water resources	https://kanaelab.jimdo.com/	https://kanaelab.jimdo.com/	key_rid=1000292223		ｶﾅｴ	ｼﾝｼﾞﾛｳ		
13	融合理工学系	027	教授	001	神田	学	か	かんだ	まなぶ	3	Manabu	Kanda	融合理工学系	027	地球環境共創コース	027	土木・環境工学系	026	土木工学コース	026																					大気環境	Atmospheric environment	都市気象学	Urban climate	流体力学	Fluid dynamics			http://www.ide.titech.ac.jp/~kandalab/ja/index.html	http://www.ide.titech.ac.jp/~kandalab/en/index.html	key_rid=1000203920		ｶﾝﾀﾞ	ﾏﾅﾌﾞ		
32	融合理工学系	027	教授	001	木内	豪	か	きのうち	つよし	3	Tsuyoshi	Kinouchi	融合理工学系	027	地球環境共創コース	027	土木・環境工学系	026	土木工学コース	026																					水資源・水防災	Water resources management	水循環解析	Hydrologic analysis	水質モデリング	Water quality modeling	土砂輸送解析	Analysis of sediment transport	http://fa.depe.titech.ac.jp/kinouchi/index-j.html	http://fa.depe.titech.ac.jp/kinouchi/index.html	key_rid=6000021726		ｷﾉｳﾁ	ﾂﾖｼ		
