index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	建築学系	025	教授	001	五十嵐	規矩夫	あ	いからし	きくお	2	Kikuo	Ikarashi	建築学系	025	建築学コース	025																									建築構造	Structural engineering	鋼構造物の安定性評価	Stability of steel structure	薄鋼板構造形式の探求	Thin walled steel structure	鉄鋼系複合要素の開発	Steel-based composite element	http://www.arch.titech.ac.jp/ikarashi_lab/	http://www.arch.titech.ac.jp/ikarashi_lab/	key_rid=1000015561		ｲｶﾗｼ	ｷｸｵ				
	建築学系	025	助教	004	石田	孝徳	あ	いしだ	たかのり	2	Takanori	Ishida	建築学系	025	建築学コース	025																									耐震工学	Earthquake engineering	残存耐震性能評価	Evaluation of residual seismic performance	耐震改修	Seismic retrofit			http://www.udprc.first.iir.titech.ac.jp/~kishikilab/index.html	http://www.udprc.first.iir.titech.ac.jp/~kishikilab/index.html	key_rid=7000018134		ｲｼﾀﾞ	ﾀｶﾉﾘ				
	建築学系	025	特定教授	009	上野	武	あ	うえの	たけし	5	Takeshi	Ueno	建築学系	025	建築学コース	025																																					ｳｴﾉ	ﾀｹｼ				
	建築学系	025	助教	004	海塩	渉	あ	うみしお	わたる	5	Wataru	Umishio	建築学系	025	建築学コース	025																									住宅と健康	Housing and health	建築環境工学	Built environmental engineering	医学	Medicine	公衆衛生学	Public health			key_rid=R000002248		ｳﾐｼｵ	ﾜﾀﾙ				
	建築学系	025	准教授	002	沖	拓弥	あ	おき	たくや	3	Takuya	Oki	建築学系	025	建築学コース	025																									建築計画	Architectural Planning	都市解析	Urban Analysis					http://t2r2.star.titech.ac.jp/cgi-bin/researcherpublicationlist.cgi?q_researcher_content_number=CTT100518739	http://t2r2.star.titech.ac.jp/cgi-bin/researcherpublicationlist.cgi?lv=en&q_researcher_content_number=CTT100518739	key_t2r2Rid=CTT100518739		ｵｷ	ﾀｸﾔ				
	建築学系	025	教授	001	奥山	信一	あ	おくやま	しんいち	3	Shin-chi 	Okuyama	建築学系	025	建築学コース	025	建築学系	025	都市・環境学コース	006																					建築意匠	Architectural design	建築論	Theory of architecture					http://www.ok.enveng.titech.ac.jp	http://www.ok.enveng.titech.ac.jp	key_rid=1000015626		ｵｸﾔﾏ	ｼﾝｲﾁ				
	建築学系	025	教授	001	大佛	俊泰	あ	おさらぎ	としひろ	3	Toshihiro	Osaragi	建築学系	025	建築学コース	025	建築学系	025	都市・環境学コース	006																					建築計画	Architectural planning	都市解析	Urban analysis and planning	地域防災計画	Disaster mitigation planning	空間情報科学	Spatial information science	http://www.os.mei.titech.ac.jp/	http://www.os.mei.titech.ac.jp/	key_rid=1000015558		ｵｻﾗｷﾞ	ﾄｼﾋﾛ				
	建築学系	025	助教	004	小原	拓	あ	おばら	たく	3	Taku	Obara	建築学系	025	建築学コース	025																									耐震工学	Seismic engineering	鉄筋コンクリート構造	Reinforced concrete structures	プレストレストコンクリート構造	Prestressed concrete structures	損傷制御	Damage control structures	http://www.udprc.first.iir.titech.ac.jp/kono/	http://www.udprc.first.iir.titech.ac.jp/kono/	key_t2r2Rid=CTT100670765		ｵﾊﾞﾗ	ﾀｸ				
	建築学系	025	准教授	002	鍵	直樹	か	かぎ	なおき	3	Naoki	Kagi	建築学系	025	建築学コース	025																									建築環境	Built environment	室内空気質	Indoor air quality	空気汚染	Air pollution	環境設計	Environmental design	http://www.create.mei.titech.ac.jp	http://www.create.mei.titech.ac.jp	key_rid=5000039858		ｶｷﾞ	ﾅｵｷ				
	建築学系	025	特任教授	005	笠井	和彦	か	かさい	かずひこ	3	Kazuhiko	Kasai	建築学系	025	建築学コース	025	建築学系	025	都市・環境学コース	006																															key_rid=1000222064		ｶｻｲ	ｶｽﾞﾋｺ				
