index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
1	生命理工学系	024	准教授	002	相澤	康則	あ	あいざわ	やすのり	1	Yasunori 	Aizawa	生命理工学系	024	生命理工学コース	024																																			key_rid=6000003434		ｱｲｻﾞﾜ	ﾔｽﾉﾘ																																																														
2	生命理工学系	024	准教授	002	赤間	啓之	あ	あかま	ひろゆき	1	Hiroyuki	Akama	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					脳画像解析(fMRI)	Brain imaging (fMRI)	機械学習 	Machine learning	複雑ネットワーク	Complex networks	計算神経言語学	Computational neurolinguistics	https://sites.google.com/site/akamatitechlab/home	https://sites.google.com/site/akamatitechlab/home	key_rid=1000279157		ｱｶﾏ	ﾋﾛﾕｷ																																																														
3	生命理工学系	024	講師	003	朝倉	則行	あ	あさくら	のりゆき	1	Noriyuki	Asakura	生命理工学系	024	生命理工学コース	024																									生物電気化学	Bioelectrochemistry	光励起電子移動	Photoinduced electron transfer	光水素発生反応	Photoinduced hydrogen evolution	バイオ電池	Biofuel cell	http://asakura.bio.titech.ac.jp		key_rid=1000321442		ｱｻｸﾗ	ﾉﾘﾕｷ																																																														
4	生命理工学系	024	助教	004	安部	聡	あ	あべ	さとし	1	Satoshi	Abe	生命理工学系	024	生命理工学コース	024																									生体機能関連化学	Biofunctional chemistry	タンパク質結晶工学	Protein crystal engineering	生物無機化学	Bioinorganic chemistry			http://www.ueno.bio.titech.ac.jp	http://www.ueno.bio.titech.ac.jp/en/index.html	key_t2r2Rid=CTT100638607		ｱﾍﾞ	ｻﾄｼ																																																														
5	生命理工学系	024	助教	004	池田	博	あ	いけだ	ひろし	2	Hiroshi	Ikeda	生命理工学系	024	生命理工学コース	024																									超分子化学	Supramolecular chemistry	生物模倣化学	Biomimetic chemistry	分子認識化学	Molecular recognition chemistry					key_rid=1000222114		ｲｹﾀﾞ	ﾋﾛｼ																																																														
6	生命理工学系	024	教授	001	石井	佳誉	あ	いしい	よしたか	2	Yoshitaka	Ishii	生命理工学系	024	生命理工学コース	024																									タンパク質	Protein	固体NMR	Solid-state NMR	アルツハイマー病	Alzheimer's disease	物理化学	Physical chemistry	http://www.ishii-lab.bio.titech.ac.jp	http://www.ishii-lab.bio.titech.ac.jp	key_t2r2Rid=CTT100735327		ｲｼｲ	ﾖｼﾀｶ																																																														
7	生命理工学系	024	教授	001	一瀬	宏	あ	いちのせ	ひろし	2	Hiroshi	Ichinose	生命理工学系	024	生命理工学コース	024	生命理工学系	024	ライフエンジニアリングコース	003																					神経化学	Neurochemistry	分子生物学	Molecular biology	代謝	Metabolism			http://www.bio.titech.ac.jp/laboratory/ichinose/index.html	http://www.bio.titech.ac.jp/english/laboratory/ichinose/index.html	key_rid=1000102758		ｲﾁﾉｾ	ﾋﾛｼ																																																														
8	生命理工学系	024	教授	001	伊藤	武彦	あ	いとう	たけひこ	2	Takehiko	Itoh	生命理工学系	024	生命理工学コース	024																									バイオインフォマティクス	Bioinformatics	ゲノム情報	Genome informatics							key_rid=6000021725		ｲﾄｳ	ﾀｹﾋｺ																																																														
	生命理工学系	024	助教	004	伊藤	栄紘	あ	いとう	ひでひろ	2	Hidehiro	Ito	生命理工学系	024	生命理工学コース	024																									生物無機化学	Bioinorganic chemistry 	微生物工学	Microbial engineering	有機化学	Organic chemistry	高分子化学	Polymer chemistry	http://www.kamachi.bio.titech.ac.jp/		key_rid=B000375197		ｲﾄｳ	ﾋﾃﾞﾋﾛ																																																														
9	生命理工学系	024	助教	004	伊藤	由馬	あ	いとう	ゆうま	2	Yuma	Ito	生命理工学系	024	生命理工学コース	024																									1分子イメージング計測	Single molecule imaging and quantification	超解像顕微鏡 	Super-resolution microscopy	細胞動態と機能	Cellular dynamics and function	クロマチン・核構造ダイナミクス	Chromatin and nuclear dynamics	http://www.toku.bio.titech.ac.jp/		key_t2r2Rid=CTT100513317		ｲﾄｳ	ﾕｳﾏ																																																														
10	生命理工学系	024	助教	004	猪早	敬二	あ	いのはや	けいじ	2	Keiji	Inohaya	生命理工学系	024	生命理工学コース	024																									発生生物学	Developmental biology									key_t2r2Rid=CTT100380943		ｲﾉﾊﾔ	ｹｲｼﾞ																																																														
11	生命理工学系	024	准教授	002	今村	壮輔	あ	いまむら	そうすけ	2	Sousuke	Imamura	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					植物分子生物学	Plant molecular biology	バイオマス生産	Biomass production	代謝制御	Metabolic regulation			http://www.res.titech.ac.jp/~biores/index.html	http://www.res.titech.ac.jp/~biores/E/index_E.html	key_rid=5000029748		ｲﾏﾑﾗ	ｿｳｽｹ																																																														
12	生命理工学系	024	助教	004	岩井	伯隆	あ	いわい	のりたか	2	Noritaka	Iwai	生命理工学系	024	生命理工学コース	024																									新しい発酵技術	New fermentation technology	フッ素の生化学	Fluorine biochemistry	新規抗生物質探索	Antibiotics screening			http://www.celltech.bio.titech.ac.jp/	http://www.celltech.bio.titech.ac.jp/	key_rid=1000322268		ｲﾜｲ	ﾉﾘﾀｶ																																																														
13	生命理工学系	024	教授	001	岩崎	博史	あ	いわさき	ひろし	2	Hiroshi	Iwasaki	生命理工学系	024	生命理工学コース	024																									相同組換え	Homologous recombination	DNA修復	DNA repair	染色体生物学	Chromosome biology	ゲノム動態	Genome dynamics	http://www.iwasakilab.bio.titech.ac.jp	http://www.iwasakilab.bio.titech.ac.jp/index-e.html	key_rid=1000362686		ｲﾜｻｷ	ﾋﾛｼ																																																														
