index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
1	土木・環境工学系	026	助教	004	阿久津	絢子	あ	あくつ	あやこ	1	Ayako	Akutsu	土木・環境工学系	026	土木工学コース	026																									構造工学	Structural engineering	維持管理工学	Mainternance engineering	構造モニタリング	Structural monitoring	鉄道工学	Railway systems engineering			key_t2r2Rid=CTT100656847		ｱｸﾂ	ｱﾔｺ
2	土木・環境工学系	026	教授	001	朝倉	康夫	あ	あさくら	やすお	1	Yasuo	Asakura	土木・環境工学系	026	土木工学コース	026	土木・環境工学系	026	都市・環境学コース	006																					交通工学	Traffic engineering	高度交通システム	Intelligent transport systems	交通行動分析	Travel behavior analysis	交通計画	Transportation planning	http://asakura.cv.ens.titech.ac.jp/	http://www.transport-titech.jp/	key_rid=1000040128		ｱｻｸﾗ	ﾔｽｵ
3	土木・環境工学系	026	特任教授	005	伊藤	裕一	あ	いとう	ゆういち	2	Yuichi	Ito	土木・環境工学系	026	土木工学コース	026																									構造工学	Structural engineering	維持管理工学	Mainternance engineering	構造モニタリング	Structural monitoring	鉄道工学	Railway systems engineering			key_t2r2Rid=CTT100803827		ｲﾄｳ	ﾕｳｲﾁ
4	土木・環境工学系	026	教授	001	岩波	光保	あ	いわなみ	みつやす	2	Mitsuyasu	Iwanami	土木・環境工学系	026	土木工学コース	026																									維持管理工学	Maintenance engineering	海洋構造工学	Marine structure engineering	マルチスケールデザイン	Structural design considering multi-scale of time and space			http://maintenance.cv.titech.ac.jp/	http://maintenance.cv.titech.ac.jp/english/	key_rid=5000005569		ｲﾜﾅﾐ	ﾐﾂﾔｽ
5	土木・環境工学系	026	准教授	002	ウィジェイェウィックレマ	アニール	あ	うぃじぇやうぃくれま	あにーる	5	Anil	Wijeyewickrema	土木・環境工学系	026	土木工学コース	026	土木・環境工学系	026	エンジニアリングデザインコース	002																					計算地震工学	Computational earthquake engineering	構造力学	Structural mechanics	材料と部材の力学	Mechanics of materials	固体の波動伝播	Wave propagation in solids	http://www.cv.titech.ac.jp/~anil-lab/	http://www.cv.titech.ac.jp/~anil-lab/	key_rid=1000279117		ｳｨｼﾞｪﾔｳｨｸﾚﾏ	ｱﾆｰﾙ
6	土木・環境工学系	026	准教授	002	笠間	清伸	か	かさま	きよのぶ	3	Kiyonobu	Kasama	土木・環境工学系	026	土木工学コース	026																									地盤工学	Geotechnical engineering	防災地盤工学	Geo-disaster prevention engineering	地盤災害リスク評価	Geo-hazard risk assessment	地盤改良	Ground improvement	http://www.geotech.cv.titech.ac.jp/	http://www.geotech.cv.titech.ac.jp/	key_rid=1000314612		ｶｻﾏ	ｷﾖﾉﾌﾞ
7	土木・環境工学系	026	教授	001	鼎	信次郎	か	かなえ	しんじろう	3	Shinjiro	Kanae	土木・環境工学系	026	土木工学コース	026	融合理工学系	027	地球環境共創コース	027																					地球の水循環	Terrestrial hydrology	水災害	Water hazard	気候変動	Climate change	河川流域マネジメント	Water resources	https://kanaelab.jimdo.com/	https://kanaelab.jimdo.com/	key_rid=1000292223		ｶﾅｴ	ｼﾝｼﾞﾛｳ
8	融合理工学系	027	教授	001	神田	学	か	かんだ	まなぶ	3	Manabu	Kanda	融合理工学系	027	地球環境共創コース	027	土木・環境工学系	026	土木工学コース	026																					大気環境	Atmospheric environment	都市気象	Urban climate	流体力学	Fluid dynamics			http://www.ide.titech.ac.jp/~kandalab/ja/index.html	http://www.ide.titech.ac.jp/~kandalab/en/index.html	key_rid=1000203920		ｶﾝﾀﾞ	ﾏﾅﾌﾞ
9	土木・環境工学系	026	教授	001	北詰	昌樹	か	きたづめ	まさき	3	Masaki	Kitazume	土木・環境工学系	026	エンジニアリングデザインコース	002	土木・環境工学系	026	土木工学コース	026																					土質力学	Soil mechanics	地盤工学	Geotechnical engineering	地盤改良	Ground improvement	遠心模型実験手法	Centrifuge model testing	http://www.geotech.cv.titech.ac.jp/index.html	http://www.geotech.cv.titech.ac.jp/index.html	key_rid=0000045660		ｷﾀﾂﾞﾒ	ﾏｻｷ
10	融合理工学系	027	教授	001	木内	豪	か	きのうち	つよし	3	Tsuyoshi	Kinouchi	融合理工学系	027	地球環境共創コース	027	土木・環境工学系	026	土木工学コース	026																					水資源管理	Water resources management	水循環解析	Hydrologic analysis	水質モデリング	Water quality modeling	土砂輸送解析	Analysis of sediment transport	http://fa.depe.titech.ac.jp/kinouchi/index-j.html	http://fa.depe.titech.ac.jp/kinouchi/index.html	key_rid=6000021726		ｷﾉｳﾁ	ﾂﾖｼ
