index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
1	生命理工学系	024	准教授	002	赤間	啓之	あ	あかま	ひろゆき	1	Hiroyuki	Akama	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					脳画像解析(fMRI)	Brain imaging (fMRI)	機械学習 	Machine learning	複雑ネットワーク	Complex networks	計算神経言語学	Computational neurolinguistics	https://sites.google.com/site/akamatitechlab/home	https://sites.google.com/site/akamatitechlab/home	key_rid=1000279157		ｱｶﾏ	ﾋﾛﾕｷ				
2	材料系	020	特定教授	009	阿部	英喜	あ	あべ	ひでき	1	Hideki	Abe	材料系	020	ライフエンジニアリングコース	003																									バイオベースプラスチック材料	Bio-based plastic materials	環境資源分子	Environmentally sustainable molecules							key_t2r2Rid=CTT100600337		ｱﾍﾞ	ﾋﾃﾞｷ				
	応用化学系	021	助教	004	プラディプタ	アンバラ	は	ぷらでぃぷた	あんばら	4	Ambara	Pradipta	応用化学系	021	ライフエンジニアリングコース	003																									生物有機化学	Bioorganic chemistry	天然物有機化学	Natural product organic chemistry	有機合成化学	Organic synthetic chemistry	有機分析化学	Organic analytical chemisry	http://www.apc.titech.ac.jp/~noritanaka/	http://www.apc.titech.ac.jp/~noritanaka/	key_rid=B000282751		ﾌﾟﾗﾃﾞｨﾌﾟﾀ	ｱﾝﾊﾞﾗ				
3	材料系	020	教授	001	生駒	俊之	あ	いこま	としゆき	2	Toshiyuki	Ikoma	材料系	020	ライフエンジニアリングコース	003	材料系	020	材料コース	020																					ナノメディシン	Nanomedicine	バイオセンシング	Biosensing	再生医療	Regenerative medicine	無機材料	Inorganic material	http://www.bio.ceram.titech.ac.jp/		key_rid=6000023115		ｲｺﾏ	ﾄｼﾕｷ				
5	機械系	015	准教授	002	石田	忠	あ	いしだ	ただし	2	Tadashi	Ishida	機械系	015	ライフエンジニアリングコース	003	機械系	015	機械コース	015																					MEMS	MEMS	医療デバイス	Medical device	細胞科学	Cellular science	細胞工学	Cellular engineering	http://www.bmm.mech.e.titech.ac.jp/	http://www.bmm.mech.e.titech.ac.jp/index_eng.html	key_rid=B000226866		ｲｼﾀﾞ	ﾀﾀﾞｼ				
6	生命理工学系	024	教授	001	一瀬	宏	あ	いちのせ	ひろし	2	Hiroshi	Ichinose	生命理工学系	024	生命理工学コース	024	生命理工学系	024	ライフエンジニアリングコース	003																					神経化学	Neurochemistry	分子生物学	Molecular biology	代謝	Metabolism			http://www.bio.titech.ac.jp/laboratory/ichinose/index.html	http://www.bio.titech.ac.jp/english/laboratory/ichinose/index.html	key_rid=1000102758		ｲﾁﾉｾ	ﾋﾛｼ				
8	生命理工学系	024	准教授	002	今村	壮輔	あ	いまむら	そうすけ	2	Sousuke	Imamura	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					植物分子生物学	Plant molecular biology	バイオマス生産	Biomass production	代謝制御	Metabolic regulation			http://www.res.titech.ac.jp/~biores/index.html	http://www.res.titech.ac.jp/~biores/E/index_E.html	key_rid=5000029748		ｲﾏﾑﾗ	ｿｳｽｹ				
9	生命理工学系	024	助教	004	岩谷	駿	あ	いわたに	しゅん	2	Shun	Iwatani	生命理工学系	024	ライフエンジニアリングコース	003																									分子微生物学	Molecular microbiology	応用微生物学	Applied microbiology					http://www.skj48.bio.titech.ac.jp/index.html	http://www.skj48.bio.titech.ac.jp/index.html	key_t2r2Rid=CTT100667940		ｲﾜﾀﾆ	ｼｭﾝ				
10	生命理工学系	024	教授	001	上田	宏	あ	うえだ	ひろし	5	Hiroshi	Ueda	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					抗体工学	Antibody engineering	酵素工学	Enzyme engineering	バイオセンサー	Biosensor			http://www.ueda.res.titech.ac.jp/	http://www.ueda.res.titech.ac.jp/index_en.html	key_rid=5000045077		ｳｴﾀﾞ	ﾋﾛｼ				
11	機械系	015	准教授	002	遠藤	玄	あ	えんどう	げん	1	Gen	Endo	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002	機械系	015	ライフエンジニアリングコース	003																									http://www-robot.mes.titech.ac.jp/home.html		key_t2r2Rid=CTT100514633		ｴﾝﾄﾞｳ	ｹﾞﾝ				
