index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
1	情報通信系	018	助教	004	赤羽	克仁	あ	あかはね	かつひと	1	Katsuhito 	Akahane	情報通信系	018	情報通信コース	018																																			key_rid=6000021697		ｱｶﾊﾈ	ｶﾂﾋﾄ		
3	情報通信系	018	教授	001	一色	剛	あ	いっしき	つよし	2	Tsuyoshi 	Isshiki	情報通信系	018	情報通信コース	018	情報工学系	023	情報工学コース	023																					ハードウェア・プロセッサ自動設計	Hardware/Processor design automation	AIベース画像音声信号処理	AI-based image/Audio signal processing	生体認証	Biometric authentication	IoTセキュリティ・マルウェア検知	IoT security/Malware detection	http://www.vlsi.ict.e.titech.ac.jp/research/index-j.html	http://www.vlsi.ict.e.titech.ac.jp/research/index.html	key_rid=5000047859		ｲｯｼｷ	ﾂﾖｼ		
4	情報通信系	018	助教	004	伊藤	泉	あ	いとう	いずみ	2	Izumi	Ito	情報通信系	018	情報通信コース	018																									基礎信号処理	Signal processing	画像処理	Image processing	画像マッチング	Image matching					key_t2r2Rid=CTT100604951		ｲﾄｳ	ｲｽﾞﾐ		
6	情報通信系	018	教授	001	植松	友彦	あ	うえまつ	ともひこ	5	Tomohiko	Uyematsu	情報通信系	018	情報通信コース	018																									情報理論	Information theory	ネットワーク情報理論	Network information theory	通信路符号化	Channel coding	乱数生成	Random number generation	http://www.it.ce.titech.ac.jp/index-j.html	http://www.it.ce.titech.ac.jp/index-e.html	key_rid=1000052863		ｳｴﾏﾂ	ﾄﾓﾋｺ		
8	情報通信系	018	教授	001	尾形	わかは	あ	おがた	わかは	3	Wakaha	Ogata	情報通信系	018	情報通信コース	018	数理・計算科学系	022	数理・計算科学コース	022																					暗号理論	Cryptology	暗号プロトコル	Cryptographic protocol	証明可能安全	Provable security			http://www.security.mot.titech.ac.jp/index.html	http://www.security.mot.titech.ac.jp/index-e.html	key_rid=1000321739		ｵｶﾞﾀ	ﾜｶﾊ		
9	情報通信系	018	教授	001	奥村	学	あ	おくむら	まなぶ	3	Manabu	Okumura	情報通信系	018	情報通信コース	018																									自然言語処理	Natural language processing	テキスト要約	Text summarization	評判分析	Sentiment analysis	テキストマイニング	Text mining	http://lr-www.pi.titech.ac.jp/wp/	http://lr-www.pi.titech.ac.jp/wp_en/	key_rid=1000321787		ｵｸﾑﾗ	ﾏﾅﾌﾞ		
	情報通信系	018	特定教授	009	奥村	幸彦	あ	おくむら	ゆきひこ	3	Yukihiko	Okumura	情報通信系	018	情報通信コース	018																																					ｵｸﾑﾗ	ﾕｷﾋｺ		
11	情報通信系	018	准教授	002	小尾	高史	あ	おび	たかし	3	Takashi	Obi	情報通信系	018	情報通信コース	018	情報通信系	018	ライフエンジニアリングコース	003																					社会情報システム	Social information systems	医療情報システム	Medical information systems	医用画像	Medical imaging	情報セキュリティ	Information security			key_rid=1000275204		ｵﾋﾞ	ﾀｶｼ		
12	情報通信系	018	准教授	002	笠井	健太	か	かさい	けんた	3	Kenta	Kasai	情報通信系	018	情報通信コース	018																									符号理論	Coding theory	LDPC符号	LDPC codes	空間結合符号	Spatially-coupled codes			https://www.dropbox.com/sh/giy47shotisicru/AAChQiwawhrPDBMzmu7SO5B5a?dl=0	https://www.dropbox.com/sh/giy47shotisicru/AAChQiwawhrPDBMzmu7SO5B5a?dl=0	key_rid=6000012452		ｶｻｲ	ｹﾝﾀ		
	情報通信系	018	特定教授	009	柏野	牧夫	か	かしの	まきお	3	Makio	Kashino	情報通信系	018	情報通信コース	018																									認知神経科学	Cognitive neuroscience	聴覚科学	Hearing science	スポーツ脳科学	Sports brain science	発達障害	Developmental disorder	http://www.kecl.ntt.co.jp/people/kashino.makio/index-j.html	http://www.kecl.ntt.co.jp/people/kashino.makio/index.html	key_t2r2Rid=CTT100633373		ｶｼﾉ	ﾏｷｵ		
13	情報通信系	018	教授	001	金子	寛彦	か	かねこ	ひろひこ	3	Hirohiko	Kaneko	情報通信系	018	ライフエンジニアリングコース	003	情報通信系	018	情報通信コース	018																					視覚情報処理	Visual information processing	空間知覚	Space perception	多感覚情報統合	Multisensory integration	眼球運動	Eye movements	http://www.kaneko.ip.titech.ac.jp/		key_rid=1000321719		ｶﾈｺ	ﾋﾛﾋｺ		
	情報通信系	018	助教	004	上垣外	英剛	か	かみがいと	ひでたか	3	Hidetaka	Kamigaito	情報通信系	018	情報通信コース	018																									自然言語処理	Natural language processing	機械翻訳	Machine translation	構文解析	Syntactic parsing	文圧縮	Sentence compression	http://lr-www.pi.titech.ac.jp/	http://lr-www.pi.titech.ac.jp/	key_t2r2Rid=CTT100558249		ｶﾐｶﾞｲﾄ	ﾋﾃﾞﾀｶ		
	情報通信系	018	准教授	002	北口	善明	か	きたぐち	よしあき	3	Yoshiaki	Kitaguchi	情報通信系	018	情報通信コース	018	情報工学系	023	情報工学コース	023																					情報通信工学	Information and communication engineering	次世代ネットワーク運用管理技術	Next generation network operations management	ネットワークセキュリティ	Network security	システム信頼性評価	System dependability evaluation	https://www.net.ict.e.titech.ac.jp/index.html	https://www.net.ict.e.titech.ac.jp/index.html	key_rid=5000015938		ｷﾀｸﾞﾁ	ﾖｼｱｷ		
14	情報通信系	018	教授	001	熊澤	逸夫	か	くまざわ	いつお	3	Itsuo	Kumazawa	情報通信系	018	情報通信コース	018																									画像処理とパターン認識	Image procesing and recognition	ユーザーインターフェイス	Human machine interaction	触覚情報処理	Haptic display tecnologies	ニューラルネットワークと学習	Neural network and learning	http://kuma2.isl.titech.ac.jp/		key_rid=1000015522		ｸﾏｻﾞﾜ	ｲﾂｵ		
15	電気電子系	017	准教授	002	黒澤	実	か	くろさわ	みのる	3	Minoru Kuribayashi	Kurosawa	電気電子系	017	電気電子コース	017	情報通信系	018	情報通信コース	018																					弾性表面波モータ	Surface acoustic wave motor	超音波エコーロケーション	Echo location	圧電環境振動発電	Piezoelectric energy harvesting	電気音響変換器	Electro acousitical transducer	http://www.kurosawa.ip.titech.ac.jp/index.html	http://www.kurosawa.ip.titech.ac.jp/index_eng.html	key_rid=1000279107		ｸﾛｻﾜ	ﾐﾉﾙ		
16	情報通信系	018	教授	001	小池	康晴	か	こいけ	やすはる	3	Yasuharu	Koike	情報通信系	018	ライフエンジニアリングコース	003	情報通信系	018	情報通信コース	018	機械系	015	ライフエンジニアリングコース	003																	計算論的神経科学	Computational neuroscience	ブレインマシンインタフェース	Brain machine interface	ヒューマンインタフェース	Human interface	筋骨格系モデル	Musculo-skeletal model			key_rid=B000000417		ｺｲｹ	ﾔｽﾊﾙ		
	情報通信系	018	准教授	002	佐々木	広	さ	ささき	ひろし	4	Hiroshi	Sasaki	情報通信系	018	情報通信コース	018																									計算機アーキテクチャ	Computer architecture	コンピュータセキュリティ	Computer security	コンピュータシステム	Computer systems			https://hiroshi-sasaki.github.io	https://hiroshi-sasaki.github.io/index-en.html	key_rid=R000002780		ｻｻｷ	ﾋﾛｼ		
21	情報通信系	018	特定教授	009	佐藤	いまり	さ	さとう	いまり	4	Imari 	Sato	情報通信系	018	情報通信コース	018																																			key_rid=5000093459		ｻﾄｳ	ｲﾏﾘ		
51	情報通信系	018	助教	004	佐藤	真平	さ	さとう	しんぺい	4	Shimpei	Sato	情報通信系	018	情報通信コース	018																									計算機アーキテクチャ	Computer architecture	RTLシミュレーション	RTL simulation					https://sites.google.com/site/stshmp/home-ja	https://sites.google.com/site/stshmp	key_t2r2Rid=CTT100518091		ｻﾄｳ	ｼﾝﾍﾟｲ		
22	情報通信系	018	助教	004	佐藤	広生	さ	さとう	ひろき	4	Hiroki	Sato	情報通信系	018	情報通信コース	018																									CMOS集積回路	CMOS integrated circuit	アナログ信号処理	Analog signal processing	低電圧・低消費電力回路技術	"Low-voltage, low-power circuit technique"	コンピュータセキュリティ	Computer security	http://www.ec.ce.titech.ac.jp	http://www.ec.ce.titech.ac.jp	key_rid=6000021734		ｻﾄｳ	ﾋﾛｷ		
