index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
1	機械系	015	教授	001	青木	尊之	あ	あおき	たかゆき	1	Takayuki	Aoki	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					数値流体シミュレーション	Computational fluid dynamics	気液二相流	Gas-liquid two-phase flows	高性能計算	High-performance computing	GPUコンピューティング	GPU computing	http://www.sim.gsic.titech.ac.jp/Japanese/Member/taoki.html	http://www.sim.gsic.titech.ac.jp/English/Member/taoki.html	key_rid=1000015852		ｱｵｷ	ﾀｶﾕｷ				
2	機械系	015	准教授	002	青野	祐子	あ	あおの	ゆうこ	1	Yuko	Aono	機械系	015	機械コース	015																									薄膜工学	Thin film engineering	表面工学	Surface engineering	機能性材料	Functional materials	微細加工	Microprocssing	http://www.surfeng.mech.e.titech.ac.jp/		key_rid=7000017669		ｱｵﾉ	ﾕｳｺ				
3	機械系	015	准教授	002	赤坂	大樹	あ	あかさか	ひろき	1	Hiroki	Akasaka	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002																					材料工学	Materials engineering 	材料分析学	Material analysis	薄膜工学	Thin-film science and engineering	無機炭素材料	Inorganic carbon materials	http://www.seikei.mech.e.titech.ac.jp/index.html		key_rid=5000085822		ｱｶｻｶ	ﾋﾛｷ				
5	機械系	015	助教	004	池田	生馬	あ	いけだ	いくま	2	Ikuma	Ikeda	機械系	015	機械コース	015																																			key_t2r2Rid=CTT100640063		ｲｹﾀﾞ	ｲｸﾏ				
6	機械系	015	准教授	002	石田	忠	あ	いしだ	ただし	2	Tadashi	Ishida	機械系	015	ライフエンジニアリングコース	003	機械系	015	機械コース	015																					MEMS	MEMS	医療デバイス	Medical device	細胞科学	Cellular science	細胞工学	Cellular engineering	http://www.bmm.mech.e.titech.ac.jp/	http://www.bmm.mech.e.titech.ac.jp/index_eng.html	key_rid=B000226866		ｲｼﾀﾞ	ﾀﾀﾞｼ				
6	融合理工学系	027	准教授	002	因幡	和晃	あ	いなば	かずあき	2	Kazuaki	Inaba	融合理工学系	027	エンジニアリングデザインコース	002	機械系	015	エンジニアリングデザインコース	002	機械系	015	機械コース	015	イノベーション科学系	029	イノベーション科学コース	029	技術経営専門職学位課程	030											材料力学	Mechanics of materials	流体力学	Fluid dynamics	計算力学	Computational mechanics	エンジニアリングデザイン	Engineering design	http://www.koubutsu.esd.titech.ac.jp/	http://www.koubutsu.esd.titech.ac.jp/	key_rid=5000065941		ｲﾅﾊﾞ	ｶｽﾞｱｷ				
8	機械系	015	教授	001	井上	剛良	あ	いのうえ	たかよし	2	Takayoshi	Inoue	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					伝熱工学	Heat transfer	熱工学	Thermal engineering	エネルギー工学	Energy engineering	航空宇宙工学	Ａｅｒｏｓｐａｃｅ engineering	http://www.netsu.mech.e.titech.ac.jp/index-j.html	http://www.netsu.mech.e.titech.ac.jp/	key_t2r2Rid=CTT100380575		ｲﾉｳｴ	ﾀｶﾖｼ				
9	機械系	015	教授	001	井上	裕嗣	あ	いのうえ	ひろつぐ	2	Hirotsugu	Inoue	機械系	015	機械コース	015																									材料力学	Mechanics of materials	非破壊検査	Non-destructive testing	逆問題解析	Inverse analysis	衝撃問題	Impact problems	http://www.solidmech.mech.e.titech.ac.jp/index.html	http://www.solidmech.mech.e.titech.ac.jp/index_en.html	key_rid=1000015389		ｲﾉｳｴ	ﾋﾛﾂｸﾞ				
10	機械系	015	特定教授	009	岩田	隆敬	あ	いわた	たかのり	2	Takanori	Iwata	機械系	015	機械コース	015																																					ｲﾜﾀ	ﾀｶﾉﾘ				
11	機械系	015	教授	001	岩附	信行	あ	いわつき	のぶゆき	2	Nobuyuki	Iwatsuki	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002																					超多自由度ロボットの機構と制御	Synthesis and control of hyper redundant robots	サイレント工学	Silent engineering	パラレルメカニズムの機構の制御	Synthesis and control of parallel mechanisms	圧電アクチュエータと応用機構	Piezoelectric actuators and their applications	http://www.dynamics.mep.titech.ac.jp/index-j.php	http://www.dynamics.mep.titech.ac.jp/index.php	key_rid=1000015778		ｲﾜﾂｷ	ﾉﾌﾞﾕｷ				
13	機械系	015	准教授	002	遠藤	玄	あ	えんどう	げん	1	Gen	Endo	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002	機械系	015	ライフエンジニアリングコース	003																									http://www-robot.mes.titech.ac.jp/home.html		key_t2r2Rid=CTT100514633		ｴﾝﾄﾞｳ	ｹﾞﾝ				
	機械系	015	特任准教授	006	遠藤	央	あ	えんどう	みつる	1	Mitsuru	Endo	機械系	015	機械コース	015	電気電子系	017	電気電子コース	017																					協働ロボット	Human collaborative robot	軽量アクチュエータ	Light-weight actuator	メカトロニクス	Mechatoronics	産業用ロボット	Industrial robot			key_t2r2Rid=CTT100822132		ｴﾝﾄﾞｳ	ﾐﾂﾙ				
14	機械系	015	准教授	002	大河	誠司	あ	おおかわ	せいじ	3	Seiji	Okawa	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					過冷却現象	Supercooling phenomenon	氷蓄熱システム	Ice storage system	固液相変化	Solid-liquid phase change	凍結濃縮	Freeze concentration	http://www.netsus.mech.e.titech.ac.jp/index.html	http://www.netsus.mech.e.titech.ac.jp/index-e.html	key_rid=1000015347		ｵｵｶﾜ	ｾｲｼﾞ				
15	機械系	015	教授	001	大熊	政明	あ	おおくま	まさあき	3	Masaaki	Okuma	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002																					機械力学	Machinery dynamics	構造動力学	Structural dynamics	振動騒音工学	Noise and vibration engineering	CAE	Computer aided engineering	http://www.sddl.mech.e.titech.ac.jp/		key_rid=1000015356		ｵｵｸﾏ	ﾏｻｱｷ				
17	機械系	015	教授	001	大竹	尚登	あ	おおたけ	なおと	3	Naoto	Ohtake	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002																															key_rid=1000015337		ｵｵﾀｹ	ﾅｵﾄ				
	機械系	015	准教授	002	大西	領	あ	おおにし	りょう	3	Ryo	Onishi	機械系	015	機械コース	015																									環境乱流	Environmental turbulent flow	大規模混相乱流シミュレーション	High-performance turbulent flow simulation	機械学習	Machine learning	次世代気象予測システム	Micro-meteorology forecasting system	https://www.turb.gsic.titech.ac.jp/	https://www.turb.gsic.titech.ac.jp/			ｵｵﾆｼ	ﾘｮｳ				
19	機械系	015	教授	001	岡村	哲至	あ	おかむら	てつじ	3	Tetsuji	Okamura	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					極低温工学	Cryogenic engineering	磁気冷凍	Magnetic refrigeration	冷凍/冷却技術	Refrigeration/Cooling technology	超電導応用技術	Superconducting application technology	http://www.okamura.mech.e.titech.ac.jp/	http://www.okamura.mech.e.titech.ac.jp/index-eng.html	key_rid=1000015849		ｵｶﾑﾗ	ﾃﾂｼﾞ				
21	機械系	015	特定准教授	010	小澤	悟	あ	おざわ	さとる	3	Satoru	Ozawa	機械系	015	機械コース	015																									宇宙構造	Spacecraft Structures	展開構造・形状可変構造	Deployable Structures / Variable Geometry Structures	通信衛星	Communications Satellites	合成開口レーダー衛星	Synthetic Aperture Radar Satellites	http://www.satnavi.jaxa.jp/supports/sekkei/ozawa.html	http://www.satnavi.jaxa.jp/supports/sekkei/ozawa.html			ｵｻﾞﾜ	ｻﾄﾙ				
22	機械系	015	教授	001	小俣	透	あ	おまた	とおる	3	Toru	Omata	機械系	015	ライフエンジニアリングコース	003	機械系	015	機械コース	015																					ロボティクス	Robotics	医療ロボティクス	Medical robotics	バイオマイクロデバイス	Bioｍicro ｄevices			http://www.bmm.mech.e.titech.ac.jp/	http://www.bmm.mech.e.titech.ac.jp/index_eng.html	key_rid=7000018153		ｵﾏﾀ	ﾄｵﾙ				
22	機械系	015	特任講師	007	加藤	弘一	か	かとう	こういち	3	Koichi	Kato	機械系	015	機械コース	015																									次世代デジタルプリンティング技術	Advanced Digital Printing Technology									key_t2r2Rid=CTT100798377		ｶﾄｳ	ｺｳｲﾁ				
22	機械系	015	特任教授	005	門永	雅史	か	かどなが	まさみ	3	Masami	Kadonaga	機械系	015	機械コース	015																									デジタル印刷	Digital printing	インクジェット印刷	Inkjet printing	電子写真	Electrophotography	シミュレーション	Simulation	http://www.ricoh.mech.e.titech.ac.jp/index.html	http://www.ricoh.mech.e.titech.ac.jp/index-e.html			ｶﾄﾞﾅｶﾞ	ﾏｻﾐ				
23	機械系	015	助教	004	川口	達也	か	かわぐち	たつや	3	Tatsuya	Kawaguchi	機械系	015	機械コース	015																																			key_rid=5000085870		ｶﾜｸﾞﾁ	ﾀﾂﾔ				
25	機械系	015	准教授	002	金	俊完	か	きむ	じゅうんわん	3	Joon-wan	Kim	機械系	015	機械コース	015	機械系	015	ライフエンジニアリングコース	003																					マイクロマシン	MEMS	マイクロポンプ	Micropump	ソフトアクチュエータ	Soft actuator	電界共役流体	Electro-conjugate fluid (ECF)	http://www.smart.first.iir.titech.ac.jp/	http://www.smart.first.iir.titech.ac.jp/	key_rid=6000003433		ｷﾑ	ｼﾞｭｳﾝﾜﾝ				
28	機械系	015	助教	004	黒川	悠	か	くろかわ	ゆう	3	Yu	Kurokawa	機械系	015	機械コース	015																									材料力学	Material mechanics	非破壊検査	Non-destructive testing	超音波探傷試験	Ultrasonic testing	赤外線サーモグラフィ試験	Infrared thermographic testing	http://www.solidmech.mech.e.titech.ac.jp/index.html	http://www.solidmech.mech.e.titech.ac.jp/index_en.html	key_t2r2Rid=CTT100510525		ｸﾛｶﾜ	ﾕｳ				
29	システム制御系	016	教授	001	小酒	英範	か	こさか	ひでのり	3	Hidenori	Kosaka	システム制御系	016	システム制御コース	016	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																	エンジン	Internal combustion engines	燃焼工学	Combustion engineering	レーザー計測	Laser diagnostics			http://www.ec.ctrl.titech.ac.jp 	http://www.ec.ctrl.titech.ac.jp 	key_rid=1000279139		ｺｻｶ	ﾋﾃﾞﾉﾘ				
57	機械系	015	助教	004	兒玉	学	か	こだま	まなぶ	3	Manabu	Kodama	機械系	015	機械コース	015																									熱流体工学	Thermal and fluid engineering	ヒートパイプ	Heat pipe	全固体電池	All-solid-state battery	熱流体数値解析	Numerical analysis of heat and fluid flow	http://www.tanso.mech.e.titech.ac.jp/H&T/index.html	http://www.tanso.mech.e.titech.ac.jp/H&T/index.html	key_t2r2Rid=CTT100588201		ｺﾀﾞﾏ	ﾏﾅﾌﾞ				
	機械系	015	特任教授	005	小林	恒	か	こばやし	つね	3	Tsune	Kobayashi	機械系	015	機械コース	015																									機械要素の解析と設計	Analysis and design of mechanical elements	自動車用機構の開発	Mechanisms for automobiles	歯車加工理論と製造技術	Gear machining and manufacturing	弾性体の振動騒音推定理論	Estimation theory of mechanical vibration and acoustic noise of elastic bodies					ｺﾊﾞﾔｼ	ﾂﾈ				
30	機械系	015	准教授	002	齊藤	卓志	さ	さいとう	たくし	4	Takushi	Saito	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					伝熱制御	Heat transfer control	材料加工	Materials processing	レーザー応用技術	Laser application			http://netsu-n.mep.titech.ac.jp/	http://netsu-n.mep.titech.ac.jp/index-e.html	key_rid=1000275201		ｻｲﾄｳ	ﾀｸｼ				
31	融合理工学系	027	教授	001	齊藤	滋規	さ	さいとう	しげき	4	Shigeki 	Saito	融合理工学系	027	エンジニアリングデザインコース	002	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002	イノベーション科学系	029	イノベーション科学コース	029	技術経営専門職学位課程	030											マイクロシステム	Micro-systems	材料科学	Material science	ロボティクス	Robotics	エンジニアリングデザイン	Engineering design	http://www.esd.titech.ac.jp/saito/	http://www.esd.titech.ac.jp/saito/	key_rid=1000279274		ｻｲﾄｳ	ｼｹﾞｷ				
32	機械系	015	准教授	002	阪口	基己	さ	さかぐち	もとき	4	Motoki	Sakaguchi	機械系	015	機械コース	015																									材料力学	Mechanics of materials	高温材料	High temperature materials	破壊力学	Fracture mechanics	コーティング	Coatings	http://www.solidmech.mech.e.titech.ac.jp/index.html	http://www.solidmech.mech.e.titech.ac.jp/index_en.html	key_rid=5000085354		ｻｶｸﾞﾁ	ﾓﾄｷ				
33	機械系	015	准教授	002	坂本	啓	さ	さかもと	ひらく	4	Hiraku	Sakamoto	機械系	015	エンジニアリングデザインコース	002	機械系	015	機械コース	015																					宇宙構造物工学	Space structure engineering	システム工学	Systems engineering	構造動力学	Structural dynamics			http://www.sddl.mech.e.titech.ac.jp/		key_t2r2Rid=CTT100556106		ｻｶﾓﾄ	ﾋﾗｸ				
