index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
1	電気電子系	017	准教授	002	赤塚	洋	あ	あかつか	ひろし	1	Hiroshi	Akatsuka	電気電子系	017	原子核工学コース	004	電気電子系	017	電気電子コース	017	融合理工学系	027	原子核工学コース	004																	プラズマ理工学	Plasma science and technology	プラズマ分光学	Plasma spectroscopy	プラズマ内の原子分子過程	Atomic and molecular processes in plasmas	希薄気体工学	Rarefied gas dynamics	http://www.nr.titech.ac.jp/~hakatsuk/index.html	http://www.nr.titech.ac.jp/~hakatsuk/homeE.html	key_rid=1000015193		ｱｶﾂｶ	ﾋﾛｼ				
2	融合理工学系	027	教授	001	飯尾	俊二	あ	いいお	しゅんじ	2	Shunji 	Iio	融合理工学系	027	原子核工学コース	004																																	http://www.lane.iir.titech.ac.jp/jp/member/data/siio.html	http://www.lane.iir.titech.ac.jp/en/member/data/siio.html	key_rid=1000181695		ｲｲｵ	ｼｭﾝｼﾞ				
2	融合理工学系	027	教授	001	池上	雅子	あ	いけがみ	まさこ	2	Masako	Ikegami	技術経営専門職学位課程	030			イノベーション科学系	029	イノベーション科学コース	029	融合理工学系	027	原子核工学コース	004																	科学技術と国際安全保障	"Science, technology and international security"	科学技術政策・意思決定分析	Science & technology policy and decision-making	軍備管理・核不拡散	Arms control & nuclear non-proliferation	核セキュリティ、技術移転と防衛	"Nuclear security, technology transfer and defence"	http://www.ikegami-lab.mot.titech.ac.jp/	http://www.ikegami-lab.mot.titech.ac.jp/	key_t2r2Rid=CTT100661134		ｲｹｶﾞﾐ	ﾏｻｺ				
3	融合理工学系	027	助教	004	石塚	知香子	あ	いしづか	ちかこ	2	Chikako 	Ishizuka	融合理工学系	027	原子核工学コース	004																									核データ	Nuclear data	核反応	Nuclear reactions	状態方程式	Nuclear equation of state	理論核物理、宇宙物理	"Theoretical nuclear physics, Nuclear-astrophysics"			key_t2r2Rid=CTT100740869		ｲｼﾂﾞｶ	ﾁｶｺ				
6	電気電子系	017	教授	001	小栗	慶之	あ	おぐり	よしゆき	3	Yoshiyuki	Oguri	電気電子系	017	原子核工学コース	004	融合理工学系	027	原子核工学コース	004																					核融合	Nuclear fusion	加速器	Particle accelerator	イオンビーム	Ion beam	医療工学	Medical engineering	http://www.nr.titech.ac.jp/~yoguri/	http://t2r2.star.titech.ac.jp/cgi-bin/researcherinfo.cgi?lv=en&q_researcher_content_number=CTT100381871	key_rid=1000015191		ｵｸﾞﾘ	ﾖｼﾕｷ				
7	融合理工学系	027	教授	001	小原	徹	あ	おばら	とおる	3	Toru	Obara	融合理工学系	027	原子核工学コース	004																									原子炉物理学	Reactor physics	革新的原子力システム	Innovative nuclear energy system	原子力安全	Nuclear safety	福島第一原子力発電所事故	Fukushima Daiichi NPP accident	http://www.nr.titech.ac.jp/~tobara/	http://www.nr.titech.ac.jp/~tobara/TOP-eng.html	key_rid=1000015192		ｵﾊﾞﾗ	ﾄｵﾙ				
8	融合理工学系	027	准教授	002	片渕	竜也	か	かたぶち	たつや	3	Tatsuya	Katabuchi	融合理工学系	027	原子核工学コース	004																									中性子物理	Neutron physics	核データ	Nuclear data	原子核物理	Nuclear physics	中性子医療応用	Neutron medical application	http://www.lane.iir.titech.ac.jp/~buchi/index.html	http://www.lane.iir.titech.ac.jp/~buchi/index_e.html	key_rid=1000267906		ｶﾀﾌﾞﾁ	ﾀﾂﾔ				
9	応用化学系	021	教授	001	加藤	之貴	か	かとう	ゆきたか	3	Yukitaka	Kato	応用化学系	021	原子核工学コース	004	融合理工学系	027	原子核工学コース	004																					エネルギー貯蔵・変換	Energy storage and conversion	炭素循環エネルギーシステム	Carbon recycling energy system	エネルギーキャリア	Energy carrier	原子力エネルギーシステム	Nuclear energy system	http://www.nr.titech.ac.jp/~yukitaka/	http://www.nr.titech.ac.jp/~yukitaka/eng/index.html	key_rid=1000015185		ｶﾄｳ	ﾕｷﾀｶ				
10	機械系	015	准教授	002	木倉	宏成	か	きくら	ひろしげ	3	Hiroshige	Kikura	機械系	015	原子核工学コース	004	機械系	015	エネルギーコース	001	融合理工学系	027	原子核工学コース	004																	原子力熱流動工学	Nuclear thermal hydraulics engineeering	計測工学	Measurement engineering	原子力安全工学	Nuclear safety engineeering	復興学	Revetalizics	http://www.nr.titech.ac.jp/~kikura/	http://www.nr.titech.ac.jp/~kikura/	key_rid=1000279123		ｷｸﾗ	ﾋﾛｼｹﾞ				
12	材料系	020	助教	004	グバレビッチ	アンナ	か	ぐばれびっち	あんな	2	Anna	Gubarevich	材料系	020	原子核工学コース	004																									材料科学	Material science	炭素ナノ材料	Carbon nanomaterials							key_rid=7000017683		ｸﾞﾊﾞﾚﾋﾞｯﾁ	ｱﾝﾅ				
