index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
1	システム制御系	016	准教授	002	青西	亨	あ	あおにし	とおる	1	Toru	Aonishi	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023																											key_rid=5000085863		ｱｵﾆｼ	ﾄｵﾙ	
3	システム制御系	016	教授	001	天谷	賢治	あ	あまや	けんじ	1	Kenji	Amaya	システム制御系	016	システム制御コース	016																									逆問題	Inverse problems	電気化学シミュレーション	Numerical simulation of electrical chemistry	計算力学	Computational mechanics	腐食解析	Corrosion analysis	http://www.a.sc.e.titech.ac.jp/index-j.html	http://www.a.sc.e.titech.ac.jp/	key_rid=1000204002		ｱﾏﾔ	ｹﾝｼﾞ	
4	システム制御系	016	准教授	002	石井	秀明	あ	いしい	ひであき	2	Hideaki	Ishii	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023																	システム制御	Systems and control	ネットワーク化制御	Networked control	マルチエージェント系の分散制御	Distributed control of multi-agent systems	制御系のサイバーセキュリティ	Cyber security of control systems	http://www.sc.dis.titech.ac.jp/ishii/index_j.html	http://www.sc.dis.titech.ac.jp/ishii	key_rid=6000012460		ｲｼｲ	ﾋﾃﾞｱｷ	
5	システム制御系	016	准教授	002	石崎	孝幸	あ	いしざき	たかゆき	2	Takayuki	Ishizaki	システム制御系	016	システム制御コース	016																									システム制御理論	Systems and control theory	エネルギーマネージメント	Energy management	最適化・学習	Optimization and learning	社会システムデザイン	Social system design	https://lim.ishizaki-lab.jp/	https://www.ishizaki-lab.jp/	key_rid=7000018129		ｲｼｻﾞｷ	ﾀｶﾕｷ	
6	システム制御系	016	特任講師	007	糸山	克寿	あ	いとやま	かつとし	2	Katsutoshi	Itoyama	システム制御系	016	システム制御コース	016																									音楽情報処理	Music information processing	統計的音響信号処理	Statistical audio signal processing	ロボット聴覚	Robot audition			http://lab2.nakadai.org/staff/itoyama/		key_rid=7000009082		ｲﾄﾔﾏ	ｶﾂﾄｼ	
8	システム制御系	016	教授	001	井村	順一	あ	いむら	じゅんいち	2	Jun-ichi	Imura	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023																					システム制御理論	Systems and control theory	システムバイオロジー	Systems biology	電力システム工学	Power systems control	交通制御	Transportation control	http://www.cyb.mei.titech.ac.jp/members/imura.html.ja	http://www.cyb.mei.titech.ac.jp/members/imura.html.en	key_rid=1000326062		ｲﾑﾗ	ｼﾞｭﾝｲﾁ	
9	システム制御系	016	助教	004	大西	有希	あ	おおにし	ゆうき	3	Yuki	Onishi	システム制御系	016	システム制御コース	016																									計算工学	Computational engineering	連続体力学	Continuum mechanics	血行力学	Hemodynamics	電気化学	Elctrochemistry	http://www.a.sc.e.titech.ac.jp/~yonishi/index-j.html	http://www.a.sc.e.titech.ac.jp/~yonishi/index-e.html	key_rid=6000021700		ｵｵﾆｼ	ﾕｳｷ	
10	システム制御系	016	准教授	002	大山	真司	あ	おおやま	しんじ	3	Shinji	Ohyama	システム制御系	016	システム制御コース	016																									計測工学	Measurement engineering	センサネットワーク	Sensor network	位置計測	Localization			http://www.k.ctrl.titech.ac.jp/index.html	http://www.k.ctrl.titech.ac.jp/e_index.html	key_t2r2Rid=CTT100380640		ｵｵﾔﾏ	ｼﾝｼﾞ	
11	システム制御系	016	教授	001	奥富	正敏	あ	おくとみ	まさとし	3	Masatoshi	Okutomi	システム制御系	016	システム制御コース	016																									コンピュータビジョン	Computer vision	画像処理	Image processing	画像センシング	Image sensing	画像認識	Image recognition	http://www.ok.sc.e.titech.ac.jp/mem/mxo/okutomi-j.html	http://www.ok.sc.e.titech.ac.jp/mem/mxo/okutomi.html	key_rid=1000204004		ｵｸﾄﾐ	ﾏｻﾄｼ	
12	システム制御系	016	准教授	002	小野	功	あ	おの	いさお	3	Isao	Ono	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023																	進化計算	Evolutionary computation	最適化	Optimization	人工知能	Artificial intelligence			http://www.ic.dis.titech.ac.jp/main/doku.php		key_rid=5000080633		ｵﾉ	ｲｻｵ	
13	システム制御系	016	教授	001	倉林	大輔	か	くらばやし	だいすけ	3	Daisuke	Kurabayashi	システム制御系	016	システム制御コース	016	システム制御系	016	エンジニアリングデザインコース	002																					生物模倣システム	Biomimetic systems	創発システム	Emergence	群知能	Swarm intelligence	動作計画	Planning algorithms	http://www.irs.sc.e.titech.ac.jp/member_new.html	http://www.irs.sc.e.titech.ac.jp/member_new.html	key_rid=1000326022		ｸﾗﾊﾞﾔｼ	ﾀﾞｲｽｹ	
	システム制御系	016	助教	004	倉元	昭季	か	くらもと	あきすえ	3	Akisue	Kuramoto	システム制御系	016	システム制御コース	016																									人間工学	Ergonomics	バイオメカニクス	Biomechanics	自動運転自動車	Autonomous vehicles			http://www.hei.sc.e.titech.ac.jp/	http://www.hei.sc.e.titech.ac.jp/	key_rid=B000293689		ｸﾗﾓﾄ	ｱｷｽｴ	
14	システム制御系	016	教授	001	小酒	英範	か	こさか	ひでのり	3	Hidenori	Kosaka	システム制御系	016	システム制御コース	016	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																	エンジン	Internal combustion engines	燃焼工学	Combustion engineering	レーザー計測	Laser diagnostics			http://www.ec.ctrl.titech.ac.jp 	http://www.ec.ctrl.titech.ac.jp 	key_rid=1000279139		ｺｻｶ	ﾋﾃﾞﾉﾘ	
16	システム制御系	016	准教授	002	佐藤	進	さ	さとう	すすむ	4	Susumu	Sato	システム制御系	016	システム制御コース	016	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																	排気後処理	Exhaust after-treatment	代替燃料	Alternative fuel	エンジン	Internal combustion engines			http://www.ec.ctrl.titech.ac.jp 	http://www.ec.ctrl.titech.ac.jp 	key_rid=6000005791		ｻﾄｳ	ｽｽﾑ	
17	システム制御系	016	教授	001	三平	満司	さ	さんぺい	みつじ	4	Mitsuji	Sampei	システム制御系	016	システム制御コース	016	システム制御系	016	エンジニアリングデザインコース	002																					非線形制御理論	Nonlinear control theory	制御応用	Control applications	劣駆動システム	Under-actuated systems			http://www.sl.sc.e.titech.ac.jp/~sampei/index-j.html	http://www.sl.sc.e.titech.ac.jp/~sampei/index-e.html	key_rid=1000203904		ｻﾝﾍﾟｲ	ﾐﾂｼﾞ	
18	システム制御系	016	教授	001	高安	美佐子	た	たかやす	みさこ	4	Misako	Takayasu	数理・計算科学系	022	知能情報コース	005	システム制御系	016	システム制御コース	016	数理・計算科学系	022	数理・計算科学コース	022	情報工学系	023	知能情報コース	005													ビッグデータ解析	Big data analysis	"社会・経済物理学, 生物物理学"	"Econo-sociophysics, biophysics"	現象数理モデリング・シミュレーション	Modeling and simulation of complex phenomena 	統計物理学	Statistical physics	http://www.smp.dis.titech.ac.jp/	http://www.smp.dis.titech.ac.jp/en/	key_rid=5000085874		ﾀｶﾔｽ	ﾐｻｺ	
19	システム制御系	016	准教授	002	瀧ノ上	正浩	た	たきのうえ	まさひろ	4	Masahiro	Takinoue	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023	生命理工学系	024	生命理工学コース	024													DNA情報デバイス・分子ロボット・分子コンピュータ	"DNA information devices, Molecular robots, Molecular computers"	バイオ電子機械ハイブリッド・サイバネティクス	"Bio-electro-mechano hybrid systems, Cybernetics"	生物物理学・マイクロ流体・ソフトマター	"Biophysics, Microfluidics, Soft matter"	人工生命・合成生物学	"Artificial life, Synthetic biology"	http://www.takinoue-lab.jp/	http://www.takinoue-lab.jp/en/	key_rid=5000090703		ﾀｷﾉｳｴ	ﾏｻﾋﾛ	
20	システム制御系	016	准教授	002	田中	正行	た	たなか	まさゆき	4	Masayuki	Tanaka	システム制御系	016	システム制御コース	016																									画像処理	Computational imaging							http://www.ok.ctrl.titech.ac.jp/~mtanaka/index-ja.html	http://www.ok.ctrl.titech.ac.jp/~mtanaka/	key_t2r2Rid=CTT100512859		ﾀﾅｶ	ﾏｻﾕｷ	
21	システム制御系	016	准教授	002	塚越	秀行	た	つかごし	ひでゆき	4	Hideyuki	Tsukagoshi	システム制御系	016	システム制御コース	016																									バイオミメティック・アクチュエータ	Bio-mimetic actuator	ソフトウェットアクチュエータ	Soft wet actuator	レスキューロボット	Rescue robot	医療介護ロボット	Medical rehabiliation robotics	http://www.cm.ctrl.titech.ac.jp/	http://www.cm.ctrl.titech.ac.jp/english	key_rid=1000279251		ﾂｶｺﾞｼ	ﾋﾃﾞﾕｷ	
22	システム制御系	016	助教	004	土田	崇弘	た	つちだ	たかひろ	4	Takahiro	Tsuchida	システム制御系	016	システム制御コース	016																									確率力学	Stochastic dynamics	不規則振動	Random vibration	非ガウス確率過程	Non-gaussian stochastic processes	非整数階システム	Fractional-order systems	http://www.k.mei.titech.ac.jp/index.html	http://www.k.mei.titech.ac.jp/index-en.html	key_t2r2Rid=CTT100513772		ﾂﾁﾀﾞ	ﾀｶﾋﾛ	
23	システム制御系	016	教授	001	出口	弘	た	でぐち	ひろし	1	Hiroshi	Deguchi	情報工学系	023	知能情報コース	005	システム制御系	016	システム制御コース	016	情報工学系	023	情報工学コース	023																											key_rid=1000326001		ﾃﾞｸﾞﾁ	ﾋﾛｼ	
25	システム制御系	016	教授	001	中尾	裕也	な	なかお	ひろや	3	Hiroya	Nakao	システム制御系	016	システム制御コース	016																									非線形ダイナミクス	Nonlinear dynamics	確率過程	Stochastic processes	リズム現象	Rhythmic phenomena	自己組織化	Self-organization	http://www.k.mei.titech.ac.jp/members/nakao/	http://www.k.mei.titech.ac.jp/members/nakao/index-e.html	key_rid=5000030855		ﾅｶｵ	ﾋﾛﾔ	
26	システム制御系	016	助教	004	長澤	剛	な	ながさわ	つよし	3	Tsuyoshi	Nagasawa	システム制御系	016	システム制御コース	016																									熱流体工学	Thermal and fluid engineering	エネルギー変換	Energy conversion	内燃機関	Internal combustion engine	固体酸化物型燃料電池	Solid oxide fuel cell	http://www.ec.ctrl.titech.ac.jp/japanese/index.html	http://www.ec.ctrl.titech.ac.jp/english/index.html	key_t2r2Rid=CTT100588016		ﾅｶﾞｻﾜ	ﾂﾖｼ	
